generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
26,3328,self,0.07262078113853931,0.027467237785458565,-137.5091323852539,0.15645376220345497,0.71875,4,27.173229694366455,-35.345863342285156,145.68175888061523,0.007583869621157646,0.12729397788643837,0.03580699302256107,0.107421875,0.6796875,0.439453125,0.005664062500000001,0.0076171875,0.0,2.21875,0.875,0.39436619718309857,1.078125,0.0,0.265625,0.015625,0.0078125,0.3984375,0.0234375,0.125,0.0,0.109375,0.0078125,0.0,,3
27,3456,league,0.05906274262815714,0.017704542260617018,-137.41656875610352,0.12944083474576473,0.69140625,4,27.067555904388428,-35.345863342285156,145.69487380981445,0.009619598742574453,0.0871565006673336,0.03434527199715376,0.140625,0.63671875,0.423828125,-0.0035624999999999997,0.004296875,0.0,0.703125,0.53125,0.7555555555555555,0.0625,0.0,0.109375,0.0,0.0,0.1796875,0.0,0.1484375,0.015625,0.0234375,0.0,0.0,,3
28,3584,self,0.03918762132525444,0.010926101473160088,-137.47310256958008,0.1172961313277483,0.658203125,4,27.065807819366455,-35.345863342285156,145.75315475463867,0.008896109648048878,0.0862194113433361,0.03655519615858793,0.115234375,0.59765625,0.462890625,-0.0010828125000000004,0.0,0.0,0.4609375,0.3828125,0.8305084745762712,0.015625,0.0,0.0625,0.03125,0.0,0.1640625,0.0,0.09375,0.0,0.0078125,0.0,0.0,,3
29,3712,self,0.09923951327800751,0.05801576841622591,-137.60724639892578,0.1457114927470684,0.712890625,4,27.132184982299805,-35.345863342285156,145.82092666625977,0.008843139978125691,0.08714365400373936,0.03745673596858978,0.1328125,0.61328125,0.501953125,0.008682812500000003,0.0060546874999999984,0.0,2.3515625,0.9609375,0.40863787375415284,1.234375,0.0,0.15625,0.0390625,0.0,0.3515625,0.1953125,0.2109375,0.0078125,0.15625,0.015625,0.0,,3
30,3840,self,0.06586619652807713,0.028366152197122574,-137.70626831054688,0.11727146245539188,0.693359375,4,27.161643028259277,-35.345863342285156,145.89048767089844,0.010244891978800297,0.07463919371366501,0.03534312266856432,0.1640625,0.59765625,0.45703125,0.0005999999999999993,0.00234375,0.0,1.75,0.9921875,0.5669642857142857,0.546875,0.0,0.2109375,0.0859375,0.0,0.328125,0.015625,0.1640625,0.03125,0.1171875,0.015625,0.0,,3
30,3840,eval,0.06586619652807713,0.028366152197122574,-137.70626831054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3
31,3968,self,0.0905425138771534,0.1600520983338356,-137.72715377807617,0.16878877952694893,0.66796875,4,27.191803455352783,-35.345863342285156,145.8812141418457,0.01022474723868072,0.10468853823840618,0.04128009360283613,0.154296875,0.626953125,0.44140625,0.009406250000000003,0.012890625,0.0,2.3828125,0.9609375,0.40327868852459015,1.1328125,0.0,0.2890625,0.0078125,0.0078125,0.296875,0.03125,0.28125,0.0390625,0.1953125,0.0234375,0.0,,3
32,4096,league,0.09140996634960175,0.049125456251204014,-137.83292388916016,0.1400084774941206,0.703125,4,27.279702186584473,-35.345863342285156,145.89908599853516,0.011147346580401063,0.08303054794669151,0.0372217632830143,0.17578125,0.6171875,0.484375,-0.0021765625,0.0033203125000000003,0.0,1.5390625,1.03125,0.6700507614213198,0.3515625,0.0,0.15625,0.046875,0.0,0.4296875,0.046875,0.234375,0.0234375,0.0859375,0.0234375,0.0,,3
33,4224,self,0.03962317667901516,0.015286114765331149,-137.85192108154297,0.115094730630517,0.712890625,4,27.266302585601807,-35.345863342285156,145.93148040771484,0.009531039278954268,0.07439426332712173,0.035186510533094406,0.138671875,0.640625,0.427734375,-0.0006984375000000001,0.0,0.0,0.3984375,0.3359375,0.8431372549019608,0.0078125,0.0,0.0546875,0.015625,0.0,0.0546875,0.0,0.2109375,0.0,0.0,0.0,0.0,,3
34,4352,self,0.07599835097789764,0.17664121091365814,-137.76004791259766,0.1291106753051281,0.6640625,4,27.19512414932251,-35.345863342285156,145.9107894897461,0.009970596758648753,0.09027489833533764,0.031012468971312046,0.17578125,0.65234375,0.384765625,0.008667187500000003,0.014648437500000007,0.0,3.5703125,1.3125,0.3676148796498906,2.078125,0.0,0.1796875,0.0390625,0.0,0.4765625,0.078125,0.28125,0.0234375,0.2421875,0.0234375,0.0,,3
