generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,win_rate,league_size
56,28672,self,0.04634517431259155,0.07596796751022339,-139.04307556152344,,2
57,29184,self,0.060579050332307816,0.08620515465736389,-139.0539093017578,,2
58,29696,self,0.0757407397031784,0.060133449733257294,-139.0636749267578,,2
59,30208,league,0.052913229912519455,0.09934405237436295,-139.08203125,,2
60,30720,league,0.057450465857982635,0.0766819417476654,-139.08787536621094,,2
61,31232,self,0.03646646812558174,0.08588157594203949,-139.07086181640625,,2
62,31744,self,0.06641549617052078,0.06777559965848923,-139.055908203125,,2
63,32256,league,0.07810212671756744,0.09078584611415863,-139.04525756835938,,2
64,32768,league,0.051271818578243256,0.07268781960010529,-139.01370239257812,,2
65,33280,self,0.06095233932137489,0.07889220118522644,-138.96514892578125,,2
66,33792,league,0.05612896755337715,0.09705320745706558,-138.92245483398438,,2
67,34304,self,0.04546337574720383,0.08044146001338959,-138.85208129882812,,2
68,34816,league,0.06064879521727562,0.07520569115877151,-138.759765625,,2
69,35328,league,0.08443820476531982,0.07947120070457458,-138.677978515625,,2
70,35840,league,0.037444960325956345,0.0720878392457962,-138.6058349609375,,2
71,36352,self,0.028757628053426743,0.07384031265974045,-138.5609130859375,,2
72,36864,league,0.05203999951481819,0.08168131858110428,-138.5206298828125,,2
73,37376,self,0.035945117473602295,0.07170791178941727,-138.47006225585938,,2
74,37888,league,0.048277661204338074,0.0841330885887146,-138.46656799316406,,2
75,38400,league,0.03226305916905403,0.08729629218578339,-138.45570373535156,,2
76,38912,league,0.06695332378149033,0.08001851290464401,-138.41786193847656,,2
77,39424,self,0.042291514575481415,0.08863593637943268,-138.41070556640625,,2
78,39936,self,0.03792813792824745,0.08711795508861542,-138.43719482421875,,2
79,40448,self,0.045560579746961594,0.09012776613235474,-138.45880126953125,,2
80,40960,self,0.038905538618564606,0.09608974307775497,-138.49876403808594,,2
81,41472,self,0.05482884496450424,0.07556620985269547,-138.54110717773438,,2
82,41984,self,0.05977565050125122,0.08825482428073883,-138.57638549804688,,2
83,42496,league,0.05184889957308769,0.09268499910831451,-138.5980224609375,,2
84,43008,league,0.032800402492284775,0.08737578988075256,-138.62588500976562,,2
85,43520,self,0.028460074216127396,0.08245860785245895,-138.6734619140625,,2
86,44032,league,0.05142876133322716,0.0838814526796341,-138.69949340820312,,2
87,44544,league,0.04231979697942734,0.08094280958175659,-138.71788024902344,,2
88,45056,self,0.01888319104909897,0.07481124252080917,-138.7273712158203,,2
89,45568,self,0.035291362553834915,0.0830477923154831,-138.74569702148438,,2
90,46080,self,0.057347316294908524,0.07767822593450546,-138.76490783691406,,2
91,46592,self,0.034622155129909515,0.0845501720905304,-138.79052734375,,2
92,47104,self,0.05089134722948074,0.07576225697994232,-138.83151245117188,,2
93,47616,league,0.0368061438202858,0.07399828732013702,-138.85218811035156,,2
94,48128,self,0.05785129964351654,0.0797867700457573,-138.8627166748047,,2
95,48640,league,0.03593219444155693,0.09441434592008591,-138.89990234375,,2
96,49152,self,0.04111343249678612,0.08090238273143768,-138.9229736328125,,2
97,49664,self,0.052951958030462265,0.07236816734075546,-138.9432373046875,,2
98,50176,league,0.03148030862212181,0.06950622797012329,-138.9705047607422,,2
99,50688,league,0.040676094591617584,0.07643485069274902,-139.00070190429688,,2
100,51200,self,0.029937969520688057,0.07273896038532257,-139.02142333984375,,2
100,51200,eval,0.029937969520688057,0.07273896038532257,-139.02142333984375,1.0,2
101,51712,self,0.04407177120447159,0.07905057817697525,-139.04562377929688,,3
102,52224,league,0.04213245213031769,0.06828641891479492,-139.06101989746094,,3
103,52736,league,0.038036052137613297,0.08446318656206131,-139.0693359375,,3
104,53248,league,0.044903263449668884,0.09162390232086182,-139.08123779296875,,3
105,53760,self,0.03345659375190735,0.1006627157330513,-139.101318359375,,3
106,54272,league,0.0606481097638607,0.08346115052700043,-139.116455078125,,3
107,54784,self,0.05219513177871704,0.07109248638153076,-139.12905883789062,,3
108,55296,league,0.04453258216381073,0.09117808938026428,-139.1341552734375,,3
109,55808,league,0.031867142766714096,0.0836324691772461,-139.14187622070312,,3
110,56320,league,0.050136640667915344,0.0835500955581665,-139.15283203125,,3
111,56832,league,0.0317290797829628,0.08634299039840698,-139.1741943359375,,3
112,57344,league,0.0448748916387558,0.083050936460495,-139.18191528320312,,3
113,57856,league,0.04787994176149368,0.07693330943584442,-139.18804931640625,,3
114,58368,league,0.044330768287181854,0.100882887840271,-139.16552734375,,3
115,58880,league,0.026988323777914047,0.06981366872787476,-139.12875366210938,,3
116,59392,self,0.040694572031497955,0.09446294605731964,-139.0989532470703,,3
117,59904,self,0.05409514904022217,0.08886612951755524,-139.0552520751953,,3
118,60416,self,0.02244860865175724,0.09295651316642761,-139.01242065429688,,3
119,60928,self,0.02681262232363224,0.07549219578504562,-138.96910095214844,,3
120,61440,league,0.044003650546073914,0.07490388303995132,-138.92633056640625,,3
121,61952,self,0.027978939935564995,0.09762978553771973,-138.90225219726562,,3
122,62464,self,0.03572157397866249,0.08130943030118942,-138.87461853027344,,3
123,62976,league,0.047284454107284546,0.07552911341190338,-138.84158325195312,,3
124,63488,league,0.03515457361936569,0.07378263771533966,-138.8427734375,,3
125,64000,league,0.029405668377876282,0.10182186961174011,-138.86752319335938,,3
126,64512,league,0.05570121854543686,0.060227252542972565,-138.90451049804688,,3
127,65024,league,0.030702389776706696,0.07797913253307343,-138.9263458251953,,3
128,65536,self,0.03800664097070694,0.17658574879169464,-138.97247314453125,,3
129,66048,self,0.020688343793153763,0.12683263421058655,-139.01390075683594,,3
130,66560,league,0.026704959571361542,0.07603835314512253,-139.0562744140625,,3
131,67072,self,0.04952353239059448,0.07842884957790375,-139.1069793701172,,3
132,67584,self,0.025032605975866318,0.0853387862443924,-139.16200256347656,,3
133,68096,league,0.027174949645996094,0.08336973935365677,-139.19390869140625,,3
134,68608,league,0.023801671341061592,0.10382697731256485,-139.20742797851562,,3
135,69120,league,0.023506563156843185,0.08861981332302094,-139.206298828125,,3
136,69632,league,0.03375471383333206,0.08237461745738983,-139.1916961669922,,3
137,70144,self,0.02745061367750168,0.0986388698220253,-139.16818237304688,,3
138,70656,league,0.03499801456928253,0.09457723796367645,-139.16197204589844,,3
139,71168,self,0.04132141172885895,0.08853550255298615,-139.15200805664062,,3
