generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,win_rate,league_size
19,2432,league,0.26140516996383667,0.20446303486824036,-137.95803833007812,0.4639011025428772,0.8984375,1,26.967914581298828,-35.345863342285156,146.3359832763672,0.008084375,0.013476562500000002,0.0,,3
20,2560,self,0.10915086418390274,0.0027266566175967455,-138.07171630859375,0.4103781580924988,0.8359375,1,27.094987869262695,-35.345863342285156,146.3225860595703,0.0006375000000000002,0.00078125,0.0,,3
20,2560,eval,0.10915086418390274,0.0027266566175967455,-138.07171630859375,,,,,,,,,,0.5,3
21,2688,self,0.24523264169692993,0.1477821320295334,-138.14776611328125,0.40031591057777405,0.8515625,1,27.18111228942871,-35.345863342285156,146.3125,0.007723437500000003,0.010351562500000003,0.0,,3
22,2816,self,0.2721528708934784,0.7120041847229004,-138.20968627929688,0.3992084264755249,0.8828125,1,27.242773056030273,-35.345863342285156,146.31277465820312,0.019829687500000002,0.023828125000000002,0.0,,3
23,2944,self,0.1593637764453888,0.029880687594413757,-138.2587432861328,0.43567997217178345,0.84375,1,27.290603637695312,-35.345863342285156,146.3140106201172,-0.006323437499999999,0.001953125,0.0,,3
24,3072,self,0.13303376734256744,0.08370660245418549,-138.3024444580078,0.3912937641143799,0.8046875,1,27.326732635498047,-35.345863342285156,146.32159423828125,-0.0091203125,0.0013671875,0.0,,3
25,3200,league,0.1858385056257248,0.2161078006029129,-138.36851501464844,0.4034946858882904,0.7734375,1,27.38098907470703,-35.345863342285156,146.3333740234375,-0.0007671874999999987,0.0197265625,0.0,,3
25,3200,eval,0.1858385056257248,0.2161078006029129,-138.36851501464844,,,,,,,,,,0.75,3
26,3328,self,0.22116124629974365,0.04568920284509659,-138.42787170410156,0.4353996217250824,0.8046875,1,27.433443069458008,-35.345863342285156,146.3402862548828,-0.010673437499999999,-0.0001953125,0.0,,4
27,3456,self,0.1422685980796814,0.4348355531692505,-138.46792602539062,0.37198606133461,0.84375,1,27.47174835205078,-35.345863342285156,146.342041015625,0.019595312499999996,0.013867187500000003,0.0,,4
28,3584,self,0.2810308337211609,0.05732278525829315,-138.4917449951172,0.5808665156364441,0.8984375,1,27.505935668945312,-35.345863342285156,146.33168029785156,-0.0005578125000000018,0.008984375000000001,0.0,,4
29,3712,self,0.31371167302131653,0.038772135972976685,-138.4949951171875,0.4016764163970947,0.8515625,1,27.520402908325195,-35.345863342285156,146.32046508789062,-0.0007249999999999986,0.009765625000000003,0.0,,4
30,3840,self,0.1343337744474411,0.05961931496858597,-138.51504516601562,0.48209553956985474,0.8046875,1,27.55056381225586,-35.345863342285156,146.31033325195312,-0.010706249999999997,0.0029296875000000004,0.0,,4
30,3840,eval,0.1343337744474411,0.05961931496858597,-138.51504516601562,,,,,,,,,,0.75,4
31,3968,self,0.3865661323070526,0.024116409942507744,-138.51348876953125,0.4510044455528259,0.859375,1,27.55910873413086,-35.345863342285156,146.30023193359375,0.003560937500000001,0.0039062499999999996,0.0,,5
32,4096,self,0.19839335978031158,0.09603773057460785,-138.53750610351562,0.3990445137023926,0.859375,1,27.58119773864746,-35.345863342285156,146.30215454101562,0.0071515625,0.009765624999999998,0.0,,5
33,4224,self,0.21989305317401886,0.012509297579526901,-138.53262329101562,0.3136416971683502,0.8046875,1,27.58326530456543,-35.345863342285156,146.29522705078125,-0.0030265625000000006,0.0005859375000000003,0.0,,5
34,4352,self,0.2599848508834839,0.6679775714874268,-138.53738403320312,0.3969470262527466,0.8359375,1,27.58355712890625,-35.345863342285156,146.2996826171875,0.021256250000000008,0.023242187500000004,0.0,,5
