generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
18,2304,self,0.18812938779592514,0.03989663440734148,-138.12381744384766,0.27730053663253784,0.818359375,4,27.269356727600098,-35.345863342285156,146.20032501220703,0.013552750460803509,0.196621336042881,0.05467813555151224,0.224609375,0.765625,0.556640625,-0.011803125000000001,0.005078125,0.0,1.0234375,0.328125,0.32061068702290074,0.3515625,0.0,0.0859375,0.2578125,0.0,0.0,0.171875,0.015625,0.03125,0.0,0.03125,0.0078125,0.0,,4
19,2432,self,0.1840827278792858,0.15657373890280724,-138.04182052612305,0.27292077988386154,0.787109375,4,27.226740837097168,-35.345863342285156,146.16094589233398,0.010627357987686992,0.19724706932902336,0.051451398991048336,0.162109375,0.751953125,0.52734375,0.005865624999999998,0.013476562500000002,0.0,2.0234375,0.6796875,0.3359073359073359,0.75,0.0,0.265625,0.328125,0.0,0.0,0.375,0.015625,0.015625,0.0,0.109375,0.015625,0.0,,4
20,2560,league,0.11244560778141022,0.01098024845123291,-137.91814422607422,0.2328779697418213,0.763671875,4,27.12337017059326,-35.345863342285156,146.14064407348633,0.012985622277483344,0.17406943067908287,0.05448735039681196,0.20703125,0.755859375,0.517578125,-0.002871875000000001,0.0011718750000000002,0.0,0.734375,0.4296875,0.5851063829787234,0.0078125,0.0,0.0859375,0.2109375,0.0,0.0,0.2421875,0.0,0.0390625,0.0,0.015625,0.0,0.0,,4
20,2560,eval,0.11244560778141022,0.01098024845123291,-137.91814422607422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,4
21,2688,self,0.10613610036671162,0.5575013309717178,-137.88732528686523,0.20502153784036636,0.783203125,4,27.05690860748291,-35.345863342285156,146.1762809753418,0.010362404631450772,0.15454330295324326,0.05292053986340761,0.154296875,0.755859375,0.513671875,0.021789062499999987,0.022265625000000004,0.0,4.9609375,0.859375,0.1732283464566929,3.28125,0.0,0.2421875,0.578125,0.015625,0.0,0.6484375,0.015625,0.0234375,0.0,0.2421875,0.0,0.0,,5
22,2816,self,0.16291683726012707,0.020840152632445097,-137.8564338684082,0.23508571460843086,0.73828125,4,26.98794984817505,-35.345863342285156,146.21434783935547,0.010223617311567068,0.16412568092346191,0.049271171912550926,0.169921875,0.74609375,0.494140625,-0.0005687500000000008,0.0015625,0.0,1.3671875,0.453125,0.3314285714285714,0.4140625,0.0,0.2578125,0.2421875,0.0,0.0,0.3359375,0.0078125,0.0,0.0,0.0703125,0.0,0.0,,5
23,2944,self,0.11881296709179878,0.06558334641158581,-137.86338806152344,0.23153294250369072,0.80078125,4,27.00498104095459,-35.345863342285156,146.20427322387695,0.009603490587323904,0.14487260021269321,0.04848345182836056,0.140625,0.732421875,0.525390625,0.006742187500000002,0.010546875,0.0,1.734375,0.40625,0.23423423423423423,0.96875,0.0,0.1953125,0.1640625,0.0,0.0,0.2421875,0.0078125,0.0234375,0.015625,0.0859375,0.0234375,0.0,,5
24,3072,self,0.13286632299423218,0.19285842403769493,-137.8028335571289,0.2403380088508129,0.783203125,4,27.04596519470215,-35.345863342285156,146.1027488708496,0.011543100932613015,0.1792324222624302,0.05682954750955105,0.197265625,0.7265625,0.52734375,-0.020796874999999992,0.0035156249999999997,0.0,1.28125,0.640625,0.5,0.2109375,0.0,0.0859375,0.34375,0.0,0.0,0.3359375,0.046875,0.03125,0.0,0.109375,0.0,0.0,,5
25,3200,self,0.10104598291218281,0.11886143498122692,-137.85773468017578,0.21344635635614395,0.7734375,4,27.201714515686035,-35.345863342285156,146.0018768310547,0.015758996596559882,0.155461173504591,0.05093458015471697,0.26171875,0.708984375,0.5078125,0.008929687499999998,0.010546875000000002,0.0,1.53125,0.5390625,0.3520408163265306,0.328125,0.0,0.2265625,0.4375,0.0,0.0,0.265625,0.0,0.0078125,0.0,0.109375,0.0,0.0,,5
25,3200,eval,0.10104598291218281,0.11886143498122692,-137.85773468017578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,5
