timestamp,generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_launched_high_prod,mean_captured_neutral,mean_captured_enemy,mean_early_home_expand,noop_rate,high_prod_target_rate,neutral_capture_rate,enemy_capture_rate,early_home_expand_per_episode,mean_target_neutral,mean_target_enemy,mean_early_neutral_attempts,mean_early_enemy_attempts,mean_early_neutral_captured,mean_early_launch_neutral_captured,target_neutral_rate,target_enemy_rate,early_neutral_attempts_per_episode,early_enemy_attempts_per_episode,early_neutral_captured_per_episode,early_launch_neutral_captured_per_episode,early_neutral_launch_to_cap_rate,mean_unknown_removal,win_rate,league_size
2026-04-24 19:51:17,42,5376,self,0.022481834515929222,0.30741646885871887,-7.436396956443787,0.019261532463133335,0.240234375,4,5.514273643493652,-2.768299102783203,4.690422177314758,0.0033094013342633843,0.015365944942459464,0.0033642255002632737,0.03125,0.1796875,0.05078125,0.014965625000000001,0.014257812500000003,0.0,3.1328125,2.59375,0.827930174563591,0.0,0.0,0.0859375,0.453125,0.0078125,0.0,1.0,0.390625,0.03125,0.0,0.1875,0.046875,1.7265625,0.109375,0.125,0.0,0.2265625,0.6656626506024096,0.04216867469879518,0.04819277108433735,0.0,0.921875,1.671875,0.03125,0.0,0.0078125,0.0078125,0.35542168674698793,0.6445783132530121,4.0,0.0,1.0,1.0,0.25,0.0,,2
2026-04-24 19:51:36,43,5504,self,0.02040311647579074,0.11516254767775536,-5.3491679430007935,0.02318864269182086,0.240234375,4,3.09083092212677,-1.5049605965614319,3.7632976174354553,0.00276712398044765,0.019088875269517303,0.0017555521335452795,0.02734375,0.201171875,0.00390625,-0.0038046875000000025,0.0035156250000000005,0.0,1.703125,1.5703125,0.9220183486238532,0.0,0.0,0.0078125,0.125,0.015625,0.0234375,0.796875,0.1171875,0.0234375,0.0,0.15625,0.0234375,0.484375,0.078125,0.1015625,0.0,0.25,0.30845771144278605,0.04975124378109453,0.06467661691542288,0.0,0.859375,0.7109375,0.0625,0.0,0.0,0.0078125,0.5472636815920398,0.4527363184079602,8.0,0.0,0.0,1.0,0.125,0.0,,2
2026-04-24 19:51:51,44,5632,self,-0.002944766543805599,0.02806415781378746,-2.8396827578544617,0.008081219741143286,0.1015625,4,1.5548195540904999,-0.7455768287181854,2.030440032482147,0.0014809429412707686,0.0055811923230066895,0.0013304754393175244,0.0078125,0.087890625,0.0078125,0.0031984375000000008,0.0056640625,0.0,0.84375,0.8125,0.9629629629629629,0.0,0.0,0.0,0.03125,0.0,0.0078125,0.3828125,0.0078125,0.015625,0.015625,0.0546875,0.0,0.34375,0.03125,0.0234375,0.0,0.4296875,0.4230769230769231,0.038461538461538464,0.028846153846153848,0.0,0.6640625,0.1484375,0.0859375,0.0,0.0,0.0,0.8173076923076923,0.18269230769230768,11.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:52:17,45,5760,self,0.0017472151666879654,0.41969745606184006,-3.9649799466133118,0.008588439552113414,0.109375,4,2.424657702445984,-1.0424268245697021,2.582749128341675,0.0016936896136030555,0.006558087537996471,0.001744701061397791,0.00390625,0.0703125,0.009765625,-0.020976562500000004,-0.0017578125000000016,0.0,1.1796875,0.9296875,0.7880794701986755,0.0,0.0,0.0390625,0.2109375,0.0,0.0,0.609375,0.0625,0.0390625,0.0,0.1796875,0.0,0.4453125,0.0703125,0.109375,0.0,0.359375,0.4789915966386555,0.07563025210084033,0.11764705882352941,0.0,0.2578125,0.671875,0.0390625,0.0,0.0,0.0,0.2773109243697479,0.7226890756302521,5.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:54:07,45,5760,eval,0.0017472151666879654,0.41969745606184006,-3.9649799466133118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2
2026-04-24 19:54:39,46,5888,self,-0.003869294188916683,0.09085391648113728,-4.848252654075623,0.011187469121068716,0.130859375,4,2.7227187752723694,-1.215014100074768,3.3405479788780212,0.0009188986150547862,0.008470833650790155,0.002147140447050333,0.0,0.099609375,0.017578125,0.006135937500000001,0.0099609375,0.0,1.375,0.9453125,0.6875,0.0,0.0,0.046875,0.3828125,0.0,0.0,0.4921875,0.0234375,0.0234375,0.0,0.109375,0.0078125,0.40625,0.1015625,0.015625,0.0,0.3203125,0.4297520661157025,0.10743801652892562,0.01652892561983471,0.0,0.7890625,0.15625,0.0546875,0.0,0.0,0.0,0.8347107438016529,0.1652892561983471,7.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:54:59,47,6016,self,0.022436439525336027,0.24055035412311554,-4.7885658740997314,0.0163451312109828,0.158203125,4,3.2831165194511414,-1.3737943172454834,2.879243552684784,0.0007056163158267736,0.013951726141385734,0.0020179873099550605,0.001953125,0.138671875,0.01171875,0.012046874999999999,0.018359375000000004,0.0,1.5546875,1.265625,0.8140703517587939,0.0,0.0,0.03125,0.2578125,0.015625,0.0,0.625,0.0625,0.015625,0.0,0.1640625,0.0,0.484375,0.140625,0.0234375,0.0,0.359375,0.38271604938271603,0.1111111111111111,0.018518518518518517,0.0,0.8828125,0.3828125,0.0390625,0.0,0.0,0.0,0.6975308641975309,0.30246913580246915,5.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:55:17,48,6144,self,-0.0018054621759802103,0.49337705224752426,-2.198721945285797,0.003348415601067245,0.048828125,4,1.2323180735111237,-0.5315686464309692,1.4979726672172546,0.00029094156343489885,0.0024788351729512215,0.0006567961536347866,0.0,0.033203125,0.0,-0.027635937499999996,0.0011718750000000008,0.0,0.6015625,0.4921875,0.8181818181818182,0.0,0.0,0.015625,0.09375,0.0,0.0,0.359375,0.0625,0.0078125,0.0,0.078125,0.0078125,0.3046875,0.0546875,0.03125,0.0,0.53125,0.6190476190476191,0.1111111111111111,0.06349206349206349,0.0,0.2421875,0.25,0.0546875,0.0,0.0,0.0,0.49206349206349204,0.5079365079365079,7.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:55:35,49,6272,self,-0.00335770845413208,0.006714229588396847,-1.9035030007362366,0.0035606721066869795,0.048828125,4,0.9998157769441605,-0.4418233036994934,1.3455105423927307,0.00025619054213166237,0.003160650026984513,0.0005789649439975619,0.0,0.04296875,0.001953125,0.0010218749999999998,0.0011718750000000002,0.0,0.5,0.453125,0.90625,0.0,0.0,0.0,0.046875,0.0,0.0,0.2578125,0.0,0.015625,0.0,0.0234375,0.0,0.1484375,0.0234375,0.0,0.0,0.5703125,0.3275862068965517,0.05172413793103448,0.0,0.0,0.4453125,0.0078125,0.0546875,0.0,0.0,0.0,0.9827586206896551,0.017241379310344827,7.0,0.0,0.0,0.0,0.0,0.0,,2
2026-04-24 19:55:56,50,6400,self,-0.0077135453466326,0.013309442205354571,-3.005535840988159,0.007540025282651186,0.11328125,4,1.8390998244285583,-0.642024502158165,1.8084604740142822,0.000393708236515522,0.0057109055342152715,0.0012996982550248504,0.0,0.078125,0.01171875,-0.003309375,0.008984375,0.0,0.7265625,0.6171875,0.8494623655913979,0.0,0.0,0.0,0.109375,0.0,0.0,0.3515625,0.0234375,0.0078125,0.0,0.078125,0.0078125,0.265625,0.0859375,0.0,0.0,0.515625,0.43037974683544306,0.13924050632911392,0.0,0.0,0.53125,0.0859375,0.03125,0.0,0.0,0.0078125,0.8607594936708861,0.13924050632911392,4.0,0.0,0.0,1.0,0.25,0.0,,2
